,Modification,Size,BPCY,WYIELD,ModificationType
1,"{'YPR060C': 4, 'YBR249C': 4, 'YDR127W': 4, 'YGL148W': 4, 'YDR035W': 4, 'YBR166C': 4, 'YLR134W': 0, 'YDR380W': 0, 'YPR020W': 0, 'YCR010C': 0, 'YPL214C': 0, 'YKL085W': 0, 'YLR174W': 0, 'YPL188W': 0, 'YLR231C': 0, 'YCR024C': 0}",16,-0.0,0.016865420068950827,3.125
4,"{'YPR060C': 4, 'YBR249C': 4, 'YDR127W': 4, 'YGL148W': 4, 'YDR035W': 4, 'YBR166C': 4, 'YLR134W': 0, 'YDR380W': 0, 'YPL214C': 0, 'YPR035W': 0.125, 'YDR062W': 0.125, 'YPL188W': 0, 'YIL155C': 0, 'YLR231C': 0, 'YDR072C': 0, 'YCR024C': 0}",16,-0.0,0.5437359967300374,2.75
11,"{'YPR060C': 4, 'YBR249C': 4, 'YDR127W': 4, 'YGL148W': 4, 'YDR035W': 4, 'YBR166C': 4, 'YLR134W': 0, 'YDR380W': 0, 'YPL214C': 0, 'YOL061W': 0, 'YIR031C': 0, 'YDR062W': 0.125, 'YIL155C': 0, 'YLR231C': 0, 'YDR072C': 0, 'YCR024C': 0}",16,-0.0,0.543735996730023,2.9375
0,"{'YPR060C': 4, 'YBR249C': 4, 'YDR127W': 4, 'YGL148W': 4, 'YDR035W': 4, 'YBR166C': 4, 'YLR134W': 0, 'YDR380W': 0, 'YPL214C': 0, 'YDR062W': 0.125, 'YPL188W': 0, 'YER091C': 2, 'YLR304C': 0.5, 'YDR072C': 0, 'YPR026W': 8, 'YBR293W': 0.25}",16,0.0022887495483427784,0.5437360019878946,1.9375
6,"{'YPR060C': 4, 'YBR249C': 4, 'YDR127W': 4, 'YGL148W': 4, 'YDR035W': 4, 'YBR166C': 4, 'YLR134W': 0, 'YDR380W': 0, 'YCR010C': 0, 'YPL214C': 0, 'YOL061W': 0, 'YDR062W': 0.125, 'YPL188W': 0, 'YER091C': 16, 'YDR072C': 0, 'YCR024C': 0}",16,0.01473855330118901,0.5437360019878905,2.625
46,"{'YPR060C': 4, 'YBR249C': 4, 'YDR127W': 4, 'YGL148W': 4, 'YDR035W': 4, 'YBR166C': 4, 'YLR134W': 0, 'YDR380W': 0, 'YIL006W': 0, 'YDR062W': 0.125, 'YPL188W': 0, 'YER091C': 16, 'YLR231C': 0, 'YDR072C': 0, 'YCR024C': 0}",15,0.014738553301189266,0.5437360019878873,2.466666666666667
51,"{'YPR060C': 4, 'YBR249C': 4, 'YDR127W': 4, 'YGL148W': 4, 'YDR035W': 4, 'YBR166C': 4, 'YLR134W': 0, 'YDR380W': 0, 'YPL214C': 0, 'YDR062W': 0.125, 'YIL155C': 0, 'YPL188W': 0, 'YER091C': 16, 'YDR072C': 0, 'YCR024C': 0, 'YLR231C': 0.0625}",16,0.014738553301189268,0.5437360019878873,2.4375
14,"{'YPR060C': 4, 'YBR249C': 4, 'YDR127W': 4, 'YGL148W': 4, 'YDR035W': 4, 'YBR166C': 4, 'YLR134W': 0, 'YDR380W': 0, 'YCR010C': 0, 'YOL061W': 0, 'YDR062W': 0.125, 'YPL188W': 0, 'YER091C': 16, 'YDR483W': 2, 'YDR072C': 0, 'YCR024C': 0}",16,0.014738553996535533,0.5437359967300094,2.3125
60,"{'YPR060C': 4, 'YBR249C': 4, 'YDR127W': 4, 'YGL148W': 4, 'YDR035W': 4, 'YBR166C': 4, 'YLR134W': 0, 'YDR380W': 0, 'YDR062W': 0.125, 'YPL188W': 0, 'YER091C': 16, 'YLR231C': 0, 'YDR072C': 0, 'YCR024C': 0, 'YOL126C': 0.5}",15,0.014763205526727831,0.543735996730023,2.2666666666666666
29,"{'YPR060C': 4, 'YBR249C': 4, 'YDR127W': 4, 'YGL148W': 4, 'YDR035W': 4, 'YBR166C': 4, 'YLR134W': 0, 'YDR380W': 0, 'YER170W': 32, 'YDR062W': 0.125, 'YPL188W': 0, 'YER091C': 16, 'YDR072C': 0, 'YLR304C': 0.5, 'YBR293W': 0.25, 'YLR231C': 0.0625}",16,0.014764611073028117,0.5437359967305404,1.75
